schema_version,case_id,case_family,n_qubits,actual_n_qubits,benchmark_n_qubits,actual_n_qubits_source,actual_n_qubits_warning,matched_repeat_count,timing_scope,cpu_simulation_compute_time_s_median,gpu_simulation_compute_time_s_median,compute_speedup_cpu_over_gpu_median,cpu_total_wall_time_s_median,gpu_total_wall_time_s_median,wall_time_ratio_cpu_over_gpu_median,gpu_device_name
research_benchmark_pack_v1,quest_qrng_16q_research_perf,qrng,16,16,16,n_qubits,,5,performance_compute,0.036913037,0.042557001,0.8570459751663325,0.04737077399840928,0.5186565329968289,0.09133361094421788,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_qrng_4q_research_perf,qrng,4,4,4,n_qubits,,5,performance_compute,0.001489297,0.001534939,0.9726821602953125,0.007108776000677608,0.046768387001066,0.15270485235836048,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_qrng_6q_research_perf,qrng,6,6,6,n_qubits,,5,performance_compute,0.002245512,0.002321005,0.9672116479306277,0.009365649999381276,0.04623301800165791,0.2083087746805533,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_qrng_8q_research_perf,qrng,8,8,8,n_qubits,,5,performance_compute,0.004533393,0.00346899,1.3228347352765326,0.009800539999559987,0.04795299900069949,0.20125125383216147,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_xor_10q_research_perf,xor,10,10,10,n_qubits,,5,performance_compute,0.01548365,0.019252062,0.652176063010809,0.02080318200023612,0.06254248700133758,0.2834677808601347,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_xor_12q_research_perf,xor,12,12,12,n_qubits,,5,performance_compute,0.025255629,0.053232908,0.4834173137144996,0.04738574900329695,0.534035265998682,0.08798196496308446,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_xor_14q_research_perf,xor,14,14,14,n_qubits,,5,performance_compute,0.031473661,0.062366009,0.5094790691185876,0.03871659700234886,0.54391954699895,0.06747660042361707,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_xor_16q_research_perf,xor,16,16,16,n_qubits,,5,performance_compute,0.05570881,0.076610088,0.7282861411220173,0.07647697200081893,0.5608365080006479,0.1391135935109707,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_xor_4q_research_perf,xor,4,4,4,n_qubits,,5,performance_compute,0.003485807,0.00366807,1.4481511577957304,0.0088953689992195,0.04866333100289921,0.18775772079883754,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_xor_6q_research_perf,xor,6,6,6,n_qubits,,5,performance_compute,0.005398871,0.006173134,0.8737566884271561,0.010767245999886654,0.050737217999994755,0.212215931900085,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_xor_8q_research_perf,xor,8,8,8,n_qubits,,5,performance_compute,0.009264424,0.010559797,0.9220247030403229,0.014665638998849317,0.05510788100218633,0.26673083325709074,AMD Radeon RX 6600 (gfx1032)
