schema_version,run_id,suite_id,case_id,case_family,n_qubits,actual_n_qubits,benchmark_n_qubits,actual_n_qubits_source,actual_n_qubits_warning,repeat_id,route_id,policy,same_route_comparison,same_taskgraph,same_kernel_family,unquantized_total_wall_time_s,quantized_total_wall_time_s,unquantized_host_residual_time_s,quantized_host_residual_time_s,route_runtime_ratio_none_over_quantized,unquantized_simulation_compute_time_s,quantized_simulation_compute_time_s,simulator_kernel_ratio_none_over_quantized,unquantized_transfer_bytes,quantized_transfer_bytes,transfer_ratio_none_over_quantized,unquantized_max_abs_error_vs_full_precision,quantized_max_abs_error_vs_full_precision,unquantized_execution_max_abs_error,quantized_execution_max_abs_error,unquantized_full_precision_max_abs_error,quantized_full_precision_max_abs_error,accuracy_delta_quantized_minus_unquantized,native_unquantized_upmem_kernel_executed
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,qrng_4q_thesis_upmem,qrng,4,4,4,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,1.57620956300525,1.5735643369989702,1.554007149010431,1.5508806860088953,1.0020159274854221,0.022202413994818926,0.022683650990074966,0.9787848527793607,5468.0,5420.0,1.0088560885608857,2.980232227667301e-08,2.7755575615628914e-17,0.0,2.7755575615628914e-17,2.980232227667301e-08,2.7755575615628914e-17,-2.9802322248917434e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,qrng_5q_thesis_upmem,qrng,5,5,5,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,2.02518116900319,2.0241959470004076,1.9957586169985007,1.9955041899956996,1.0001275001095344,0.02942255200468935,0.02869175700470805,1.0254705558764277,7116.0,7036.0,1.0113700966458214,3.2827726592632445e-08,5.551115123125783e-17,0.0,0.0,3.2827726592632445e-08,5.551115123125783e-17,-3.2827726537121293e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,qrng_6q_thesis_upmem,qrng,6,6,6,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,2.4736019560004934,2.4694996059988625,2.4372714790006285,2.4337857300051837,1.0014322333114498,0.036330476999864914,0.03571387599367881,1.0172650262406477,8860.0,8740.0,1.0137299771167048,2.2351741707504758e-08,1.3877787807814457e-17,0.0,1.3877787807814457e-17,2.2351741707504758e-08,1.3877787807814457e-17,-2.235174169362697e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,qrng_7q_thesis_upmem_boundary,qrng,7,7,7,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,2.927617418994487,2.898851742000261,2.882342473989411,2.854968885993003,1.0095880512501232,0.045274945005076006,0.04388285600725794,1.0317228440552688,10700.0,10548.0,1.0144103147516117,1.6413863268560647e-08,1.3877787807814457e-17,0.0,0.0,1.6413863268560647e-08,1.3877787807814457e-17,-1.641386325468286e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,qrng_8q_thesis_upmem_boundary,qrng,8,8,8,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,3.3878892029970302,3.3715671760000987,3.3323281639895868,3.31922359897726,1.003948081417704,0.05556103900744347,0.05234357702283887,1.0614681335820961,12828.0,12636.0,1.0151946818613484,1.4901161138336505e-08,6.938893903907228e-18,0.0,6.938893903907228e-18,1.4901161138336505e-08,6.938893903907228e-18,-1.4901161131397611e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,xor_3q_thesis_upmem,xor,3,3,3,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,1.128293832000054,1.137476006995712,1.112086574008572,1.1211021389972302,0.9919583018575611,0.016207257991482038,0.016373867998481728,0.9898246396627151,4076.0,3916.0,1.0408580183861083,1.2101617041793133e-08,0.0,0.0,0.0,1.2101617041793133e-08,0.0,-1.2101617041793133e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,xor_4q_thesis_upmem,xor,4,4,4,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,1.5657311169998138,1.5677125439979136,1.542830383994442,1.5451498639886267,0.9984988640595693,0.022900733005371876,0.02256268000928685,1.0149828387383892,5788.0,5532.0,1.0462762111352133,1.2101617041793133e-08,0.0,0.0,0.0,1.2101617041793133e-08,0.0,-1.2101617041793133e-08,True
research_benchmark_pack_v1,2026-07-13_00-11-23,thesis_upmem_quantization_stress,quantization_stress_4q_thesis_upmem,quantization,4,4,4,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,23.355829562002327,23.389590161998058,23.343508072008262,23.376694340011454,0.9985803695115956,0.012321489994064905,0.01289582198660355,0.9554637158348437,3088.0,3056.0,1.0104712041884816,2.2922572827213867e-07,0.0037080563259659694,0.0,2.220446049250313e-16,2.2922572827213867e-07,0.0037080563259659694,0.0037078271002376974,True
research_benchmark_pack_v1,2026-07-13_00-11-23,thesis_upmem_quantization_stress,quantization_stress_6q_thesis_upmem,quantization,6,6,6,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,35.90803631099698,35.94957429399801,35.88914076999208,35.93081949599582,0.9988400285162329,0.018895541004894767,0.01875479800219182,1.0075043731575515,4632.0,4584.0,1.0104712041884816,3.054277131539781e-07,0.004260181740356001,0.0,6.667118051786499e-16,3.054277131539781e-07,0.004260181740356001,0.0042598763126428475,True
research_benchmark_pack_v1,2026-07-13_00-11-23,thesis_upmem_quantization_stress,quantization_stress_8q_thesis_upmem,quantization,8,8,8,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,48.888460139001836,48.91406178300531,48.86387321100483,48.88885475400457,0.9994890135364095,0.02458692799700657,0.025207029000739567,0.9753996790452851,6176.0,6112.0,1.0104712041884816,2.59933236261592e-07,0.0064228029066517095,0.0,5.558049685633556e-16,2.59933236261592e-07,0.0064228029066517095,0.006422542973415448,True
