schema_version,suite_id,case_id,case_family,benchmark_n_qubits,planner_id,optimize_mode,contraction_plan_hash,planning_time_s,task_count,tn_estimated_flops,tn_max_intermediate_bytes,total_host_to_dpu_bytes,total_dpu_to_host_bytes,total_mram_to_wram_bytes,tiling_required_task_count,estimated_total_tile_count,estimated_max_parallel_tiles,upmem_pressure_score,upmem_rank,flop_rank,parallelism_evidence_type,execution_plan_executed
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_12q_planner,edc,12,opt_einsum.greedy,greedy,f81fa0f22df80e1de4b388206aa8f9a115471876371e84223dd6a3fd4f87a9e3,0.001993743993807584,57,203072,65536,3324,27792,31116,0,57,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_14q_planner,edc,14,opt_einsum.auto,auto,d79352562ba0eaf9114147a5651b77e7c19ad6ad82f89b49fc935fd04e528f9f,0.002298614002938848,67,638336,262144,6548,83360,89908,1,70,4,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_14q_planner,edc,14,opt_einsum.greedy,greedy,b186c4cd072e90783c091b53ca36209c9e9a49da4ce3644c16810eb46a20e481,0.002414199996565003,67,638336,262144,6548,83360,89908,1,70,4,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_16q_planner,edc,16,opt_einsum.auto,auto,e5d0d0626ae8dd78b7049aea8665ea33532a9016cbaaad5a7add1177afd14458,0.0027100919978693128,77,2376128,1048576,18988,304816,323804,1,92,16,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_16q_planner,edc,16,opt_einsum.greedy,greedy,0f73e320462511fd1b37c50a948a75c7013f70ffeaf09167ad065a862bebe763,0.0027910429998883046,77,2376128,1048576,18988,304816,323804,1,92,16,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_18q_planner,edc,18,opt_einsum.auto,auto,bb74521d985f9648916edda3afef8853d883f5ddb6e47fa8b7a798a715fa5dc5,0.003165073001582641,87,8832512,4194304,146628,1116096,1262724,1,150,64,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_18q_planner,edc,18,opt_einsum.greedy,greedy,ee3c3f1163873c2e7d9fe255892995344cf7ddf5465cdcd71994a9c73549af84,0.003160353000566829,87,8832512,4194304,146628,1116096,1262724,1,150,64,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_20q_planner,edc,20,opt_einsum.auto,auto,a9e1d87a3459359dcd4434b88884aa9b2d83fea8a9e214bfc8d3f635f0b066c4,0.003566131003026385,97,34654784,16777216,564620,4360400,4925020,4,355,256,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_20q_planner,edc,20,opt_einsum.greedy,greedy,8c2cc76e42ac963e490351ae54c61f581d85f1944cbad1e58990f6e22ec5d123,0.003821819002041593,97,34654784,16777216,564620,4360400,4925020,4,355,256,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_8q_planner,hs,8,opt_einsum.auto,auto,461fb7a5112e6abebbca6b47f377843912dbe369824b96e92d23df683ef8b4c8,0.0010850359976757318,39,6784,4096,488,2016,2504,0,39,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_8q_planner,hs,8,opt_einsum.greedy,greedy,9a2d9c2992f1cd541831369beee3238353bfed32fbe5e72902511b90161183b5,0.0010684160006348975,39,6784,4096,488,2016,2504,0,39,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_10q_planner,hs,10,opt_einsum.auto,auto,a4f433b0bc9f1972f65e40f14f489c3f03fa082a81a392475a7fe9fed0436de3,0.0013271890056785196,49,14560,16384,666,5560,6226,0,49,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_10q_planner,hs,10,opt_einsum.greedy,greedy,26cbcc79877f642e06f624f32d356f1cffe3205914d54a2b6b21f5ea6aec5d24,0.0013072120054857805,49,14560,16384,666,5560,6226,0,49,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_12q_planner,hs,12,opt_einsum.auto,auto,60cb6b46ee72d59d60a9724fd45c90a9770cff5f555c90b5272c84d2429eee4c,0.0015805820003151894,59,41920,65536,988,18896,19884,0,59,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_12q_planner,hs,12,opt_einsum.greedy,greedy,9ae379637b7a7bbfa7fb60c719a2c8f6ffcec94d3a0c2a6092a4ad7662dd351a,0.0015734789994894527,59,41920,65536,988,18896,19884,0,59,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_14q_planner,hs,14,opt_einsum.auto,auto,4f1b4144076ff3ce214096e39be0fafab4b246e2819db355cd0a7d4782484ddd,0.001849914995545987,69,141856,262144,1358,68520,69878,1,72,4,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_14q_planner,hs,14,opt_einsum.greedy,greedy,88cd95cf37cc771ef2d8f0c69e8bb445d67091da001da1f076d7e6eb88c87e62,0.001917792993481271,69,141856,262144,1358,68520,69878,1,72,4,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_16q_planner,hs,16,opt_einsum.auto,auto,b71902854781bd09afaf8475759882f011b3167b12a885a8bf9202fc22539e47,0.002129897999111563,79,537856,1048576,5328,266176,271504,1,94,16,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_16q_planner,hs,16,opt_einsum.greedy,greedy,9d79e18870ce187231055ad7b249679a3db387dc8c0c5b62e67001676523e205,0.002145407001080457,79,537856,1048576,5328,266176,271504,1,94,16,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_18q_planner,hs,18,opt_einsum.auto,auto,8234680e04eceb051cf7bc71d1310f809e0713d59996519e04c94a0a09e69867,0.002380225996603258,89,2118496,4194304,18562,1056152,1074714,1,152,64,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_18q_planner,hs,18,opt_einsum.greedy,greedy,26814ee72102c9e4e17b57e80d742d6693af1af402768282f0178512d3b7ccac,0.002434607995382976,89,2118496,4194304,18562,1056152,1074714,1,152,64,0.0,1,1,modeled,False
