row_kind,scope,representation,feature,left_feature,right_feature,variance_population,distinct_count,pair_tie_fraction,pair_count,pearson,spearman
pair,edc_16q:1dpu_t8,raw,,B_mram_wram,N_sync,,,,496,0.9432902701637726,0.9194253798818625
pair,edc_16q:1dpu_t8,raw,,B_mram_wram,E_num,,,,496,,
pair,edc_16q:1dpu_t8,raw,,B_mram_wram,P_wram,,,,496,,
pair,edc_16q:1dpu_t8,raw,,I_dpu,N_sync,,,,496,0.936925645736162,0.9074110542769511
pair,edc_16q:1dpu_t8,raw,,I_dpu,E_num,,,,496,,
pair,edc_16q:1dpu_t8,raw,,I_dpu,P_wram,,,,496,,
pair,edc_16q:1dpu_t8,raw,,N_sync,E_num,,,,496,,
pair,edc_16q:1dpu_t8,raw,,N_sync,P_wram,,,,496,,
pair,edc_16q:1dpu_t8,raw,,E_num,P_wram,,,,496,,
feature,edc_16q:1dpu_t8,normalized,B_host_dpu,,,0.11618263076437574,29,0.008064516129032258,496,,
feature,edc_16q:1dpu_t8,normalized,B_mram_wram,,,0.10994355670305182,30,0.004032258064516129,496,,
feature,edc_16q:1dpu_t8,normalized,I_dpu,,,0.04810429132159826,29,0.008064516129032258,496,,
feature,edc_16q:1dpu_t8,normalized,N_sync,,,0.4255403521664143,17,0.06653225806451613,496,,
feature,edc_16q:1dpu_t8,normalized,E_num,,,0.0,1,1.0,496,,
feature,edc_16q:1dpu_t8,normalized,P_wram,,,0.0,1,1.0,496,,
pair,edc_16q:1dpu_t8,normalized,,B_host_dpu,B_mram_wram,,,,496,0.9984200556559724,0.9881706013547268
pair,edc_16q:1dpu_t8,normalized,,B_host_dpu,I_dpu,,,,496,0.9984935618061516,1.0
pair,edc_16q:1dpu_t8,normalized,,B_host_dpu,N_sync,,,,496,0.9680561347778365,0.9074110542769511
pair,edc_16q:1dpu_t8,normalized,,B_host_dpu,E_num,,,,496,,
pair,edc_16q:1dpu_t8,normalized,,B_host_dpu,P_wram,,,,496,,
pair,edc_16q:1dpu_t8,normalized,,B_mram_wram,I_dpu,,,,496,0.9984040880816465,0.9881706013547268
pair,edc_16q:1dpu_t8,normalized,,B_mram_wram,N_sync,,,,496,0.9716361536952469,0.9194253798818625
pair,edc_16q:1dpu_t8,normalized,,B_mram_wram,E_num,,,,496,,
pair,edc_16q:1dpu_t8,normalized,,B_mram_wram,P_wram,,,,496,,
pair,edc_16q:1dpu_t8,normalized,,I_dpu,N_sync,,,,496,0.962003298738032,0.9074110542769511
