circuit_id,logical_plan_id,node_index,node_id,operand_a_shape,operand_b_shape,output_shape,B,M,N,K,operand_a_scale,operand_b_scale,operand_a_max_abs_component,operand_b_max_abs_component,operand_a_encoded_element_count,operand_b_encoded_element_count,operand_a_q_real_min,operand_a_q_real_max,operand_a_q_imag_min,operand_a_q_imag_max,operand_b_q_real_min,operand_b_q_real_max,operand_b_q_imag_min,operand_b_q_imag_max,operand_a_zero_count,operand_b_zero_count,operand_a_clipping_count,operand_b_clipping_count,operand_a_saturation_at_boundary_count,operand_b_saturation_at_boundary_count,int32_theoretical_accumulator_bound,int32_accumulator_safe,local_output_max_abs_error_vs_same_node_float32,local_output_relative_l2_vs_same_node_float32,local_output_norm_drift_vs_same_node_float32,cumulative_output_max_abs_error_vs_same_node_float32,cumulative_output_relative_l2_vs_same_node_float32,cumulative_output_norm_drift_vs_same_node_float32,theoretical_local_error_bound,observed_local_error,rounding_bound_applicable,logical_encoded_bytes,corresponding_float32_complex_bytes,nominal_compression_ratio,scale_metadata_bytes,quantized_complex_values,scalar_components_quantized,scale_computation_count,quantization_event_count,requantization_event_count,dequantized_output_elements,four_real_products_per_complex_product,integer_multiply_accumulate_count
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,27,contract_27,"[2,2,2,2]","[2,2,2,2]","[2,2,2,2]",1,4,4,4,0.005523398166566383,0.0031699528844337764,0.7014715671539307,0.4025840163230896,16,16,-127,127,-102,102,-71,127,-97,51,16,2,0,0,4,1,129032,true,0.002786512952297926,0.0056562721729278564,0.0024539828300476074,0.004938193131238222,0.011548401787877083,0.0008321404457092285,0.03353731481719127,0.005656252193595617,true,80,256,3.2,16,32,64,2,2,2,16,4,256
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,28,contract_28,"[2,2,2,2]","[2,2,2,2]","[2,2,2,2]",1,4,4,4,0.00554890613856278,0.0035438314666898234,0.7047110795974731,0.45006659626960754,16,16,-127,127,-96,96,-72,127,-80,54,16,1,0,0,2,1,129032,true,0.003595602000132203,0.008156638592481613,0.003971278667449951,0.004636859055608511,0.011377864517271519,0.0001984238624572754,0.035821634244723205,0.008156622164769008,true,80,256,3.2,16,32,64,2,2,2,16,4,256
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,0,contract_0,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,1,contract_1,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,2,contract_10,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,3,contract_11,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,4,contract_12,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,5,contract_13,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,6,contract_14,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,7,contract_15,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,8,contract_16,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,9,contract_17,[2],"[2,2]",[2],1,1,2,2,0.007874015748031496,0.0055677698353144124,1.0,0.7071067690849304,2,4,0,127,0,0,-127,127,0,0,3,4,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.01900955528390228,0.0,true,28,48,1.7142857142857142,16,6,12,2,2,0,2,4,16
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,10,contract_2,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,11,contract_3,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
ghz18,83da361a1f41fb6ad1126a28e4912204d26ee08f2cf5d1f2f3e6a45afa680193,12,contract_4,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
